Subnet,StartIPAddress,EndIPAddress
10.27.200.0/22,10.27.200.1,10.27.203.254
10.28.0.64/26,10.28.0.65,10.28.0.126
10.28.0.192/26,10.28.0.193,10.28.0.254
10.28.1.128/26,10.28.1.129,10.28.1.190
10.28.2.64/26,10.28.2.65,10.28.2.126
10.28.3.0/26,10.28.3.1,10.28.3.62
10.28.3.192/26,10.28.3.193,10.28.3.254
10.28.8.128/26,10.28.8.129,10.28.8.190
10.28.9.64/26,10.28.9.65,10.28.9.126
10.28.10.0/26,10.28.10.1,10.28.10.62
10.28.10.192/26,10.28.10.193,10.28.10.254
10.28.18.64/26,10.28.18.65,10.28.18.126
10.28.40.0/22,10.28.40.1,10.28.43.254
192.30.110.0/28,192.30.110.1,192.30.110.14
10.25.2.0/29,10.25.2.1,10.25.2.6
10.25.2.8/29,10.25.2.9,10.25.2.14
10.25.2.16/29,10.25.2.17,10.25.2.22
10.25.2.24/29,10.25.2.25,10.25.2.30
10.25.2.32/29,10.25.2.33,10.25.2.38
10.25.2.48/28,10.25.2.49,10.25.2.62
10.25.2.64/28,10.25.2.65,10.25.2.78
10.25.2.128/26,10.25.2.129,10.25.2.190
10.25.3.0/25,10.25.3.1,10.25.3.126
10.25.3.128/25,10.25.3.129,10.25.3.254
10.25.4.0/29,10.25.4.1,10.25.4.6
10.25.4.8/29,10.25.4.9,10.25.4.14
10.25.4.16/29,10.25.4.17,10.25.4.22
10.25.4.24/29,10.25.4.25,10.25.4.30
10.25.4.32/29,10.25.4.33,10.25.4.38
10.25.4.48/28,10.25.4.49,10.25.4.62
10.25.4.64/28,10.25.4.65,10.25.4.78
10.25.4.128/26,10.25.4.129,10.25.4.190
10.25.5.0/25,10.25.5.1,10.25.5.126
10.25.5.128/25,10.25.5.129,10.25.5.254
10.28.34.176/28,10.28.34.177,10.28.34.190
10.28.39.128/26,10.28.39.129,10.28.39.190
65.243.170.16/28,65.243.170.17,65.243.170.30
10.25.6.0/29,10.25.6.1,10.25.6.6
10.25.6.8/29,10.25.6.9,10.25.6.14
10.25.6.16/29,10.25.6.17,10.25.6.22
10.25.6.24/29,10.25.6.25,10.25.6.30
10.25.6.32/29,10.25.6.33,10.25.6.38
10.25.6.48/28,10.25.6.49,10.25.6.62
10.25.6.64/28,10.25.6.65,10.25.6.78
10.25.6.128/26,10.25.6.129,10.25.6.190
10.25.7.0/25,10.25.7.1,10.25.7.126
10.25.7.128/25,10.25.7.129,10.25.7.254
10.28.24.64/27,10.28.24.65,10.28.24.94
10.28.25.0/28,10.28.25.1,10.28.25.14
192.30.110.208/28,192.30.110.209,192.30.110.222
10.25.8.0/29,10.25.8.1,10.25.8.6
10.25.8.8/29,10.25.8.9,10.25.8.14
10.25.8.16/29,10.25.8.17,10.25.8.22
10.25.8.24/29,10.25.8.25,10.25.8.30
10.25.8.32/29,10.25.8.33,10.25.8.38
10.25.8.48/28,10.25.8.49,10.25.8.62
10.25.8.64/28,10.25.8.65,10.25.8.78
10.25.8.128/26,10.25.8.129,10.25.8.190
10.25.9.0/25,10.25.9.1,10.25.9.126
10.25.9.128/25,10.25.9.129,10.25.9.254
65.243.170.48/28,65.243.170.49,65.243.170.62
10.25.10.0/29,10.25.10.1,10.25.10.6
10.25.10.8/29,10.25.10.9,10.25.10.14
10.25.10.16/29,10.25.10.17,10.25.10.22
10.25.10.24/29,10.25.10.25,10.25.10.30
10.25.10.32/29,10.25.10.33,10.25.10.38
10.25.10.48/28,10.25.10.49,10.25.10.62
10.25.10.64/28,10.25.10.65,10.25.10.78
10.25.10.128/26,10.25.10.129,10.25.10.190
10.25.11.0/25,10.25.11.1,10.25.11.126
10.25.11.128/25,10.25.11.129,10.25.11.254
192.30.110.16/28,192.30.110.17,192.30.110.30
10.25.12.0/29,10.25.12.1,10.25.12.6
10.25.12.8/29,10.25.12.9,10.25.12.14
10.25.12.16/29,10.25.12.17,10.25.12.22
10.25.12.24/29,10.25.12.25,10.25.12.30
10.25.12.32/29,10.25.12.33,10.25.12.38
10.25.12.48/28,10.25.12.49,10.25.12.62
10.25.12.64/28,10.25.12.65,10.25.12.78
10.25.12.128/26,10.25.12.129,10.25.12.190
10.25.13.0/25,10.25.13.1,10.25.13.126
10.25.13.128/25,10.25.13.129,10.25.13.254
192.30.110.32/28,192.30.110.33,192.30.110.46
10.25.14.0/29,10.25.14.1,10.25.14.6
10.25.14.8/29,10.25.14.9,10.25.14.14
10.25.14.16/29,10.25.14.17,10.25.14.22
10.25.14.24/29,10.25.14.25,10.25.14.30
10.25.14.32/29,10.25.14.33,10.25.14.38
10.25.14.48/28,10.25.14.49,10.25.14.62
10.25.14.64/28,10.25.14.65,10.25.14.78
10.25.14.128/26,10.25.14.129,10.25.14.190
10.25.15.0/25,10.25.15.1,10.25.15.126
10.25.15.128/25,10.25.15.129,10.25.15.254
10.28.27.192/28,10.28.27.193,10.28.27.206
192.30.110.48/28,192.30.110.49,192.30.110.62
10.25.16.0/29,10.25.16.1,10.25.16.6
10.25.16.8/29,10.25.16.9,10.25.16.14
10.25.16.16/29,10.25.16.17,10.25.16.22
10.25.16.24/29,10.25.16.25,10.25.16.30
10.25.16.32/29,10.25.16.33,10.25.16.38
10.25.16.48/28,10.25.16.49,10.25.16.62
10.25.16.64/28,10.25.16.65,10.25.16.78
10.25.16.128/26,10.25.16.129,10.25.16.190
10.25.17.0/25,10.25.17.1,10.25.17.126
10.25.17.128/25,10.25.17.129,10.25.17.254
10.28.31.176/28,10.28.31.177,10.28.31.190
192.30.110.64/28,192.30.110.65,192.30.110.78
10.25.18.0/29,10.25.18.1,10.25.18.6
10.25.18.8/29,10.25.18.9,10.25.18.14
10.25.18.16/29,10.25.18.17,10.25.18.22
10.25.18.24/29,10.25.18.25,10.25.18.30
10.25.18.32/29,10.25.18.33,10.25.18.38
10.25.18.48/28,10.25.18.49,10.25.18.62
10.25.18.64/28,10.25.18.65,10.25.18.78
10.25.18.128/26,10.25.18.129,10.25.18.190
10.25.19.0/25,10.25.19.1,10.25.19.126
10.25.19.128/25,10.25.19.129,10.25.19.254
192.30.110.80/28,192.30.110.81,192.30.110.94
10.25.20.0/29,10.25.20.1,10.25.20.6
10.25.20.8/29,10.25.20.9,10.25.20.14
10.25.20.16/29,10.25.20.17,10.25.20.22
10.25.20.24/29,10.25.20.25,10.25.20.30
10.25.20.32/29,10.25.20.33,10.25.20.38
10.25.20.48/28,10.25.20.49,10.25.20.62
10.25.20.64/28,10.25.20.65,10.25.20.78
10.25.20.128/26,10.25.20.129,10.25.20.190
10.25.21.0/25,10.25.21.1,10.25.21.126
10.25.21.128/25,10.25.21.129,10.25.21.254
10.28.33.224/28,10.28.33.225,10.28.33.238
192.30.110.96/28,192.30.110.97,192.30.110.110
10.25.22.0/29,10.25.22.1,10.25.22.6
10.25.22.8/29,10.25.22.9,10.25.22.14
10.25.22.16/29,10.25.22.17,10.25.22.22
10.25.22.24/29,10.25.22.25,10.25.22.30
10.25.22.32/29,10.25.22.33,10.25.22.38
10.25.22.48/28,10.25.22.49,10.25.22.62
10.25.22.64/28,10.25.22.65,10.25.22.78
10.25.22.128/26,10.25.22.129,10.25.22.190
10.25.23.0/25,10.25.23.1,10.25.23.126
10.25.23.128/25,10.25.23.129,10.25.23.254
10.28.34.160/28,10.28.34.161,10.28.34.174
192.30.110.112/28,192.30.110.113,192.30.110.126
10.25.24.0/29,10.25.24.1,10.25.24.6
10.25.24.8/29,10.25.24.9,10.25.24.14
10.25.24.16/29,10.25.24.17,10.25.24.22
10.25.24.24/29,10.25.24.25,10.25.24.30
10.25.24.32/29,10.25.24.33,10.25.24.38
10.25.24.48/28,10.25.24.49,10.25.24.62
10.25.24.64/28,10.25.24.65,10.25.24.78
10.25.24.128/26,10.25.24.129,10.25.24.190
10.25.25.0/25,10.25.25.1,10.25.25.126
10.25.25.128/25,10.25.25.129,10.25.25.254
10.28.32.224/28,10.28.32.225,10.28.32.238
192.30.110.128/28,192.30.110.129,192.30.110.142
10.25.26.0/29,10.25.26.1,10.25.26.6
10.25.26.8/29,10.25.26.9,10.25.26.14
10.25.26.16/29,10.25.26.17,10.25.26.22
10.25.26.24/29,10.25.26.25,10.25.26.30
10.25.26.32/29,10.25.26.33,10.25.26.38
10.25.26.48/28,10.25.26.49,10.25.26.62
10.25.26.64/28,10.25.26.65,10.25.26.78
10.25.26.128/26,10.25.26.129,10.25.26.190
10.25.27.0/25,10.25.27.1,10.25.27.126
10.25.27.128/25,10.25.27.129,10.25.27.254
10.28.34.16/28,10.28.34.17,10.28.34.30
192.30.110.144/28,192.30.110.145,192.30.110.158
10.25.28.0/29,10.25.28.1,10.25.28.6
10.25.28.8/29,10.25.28.9,10.25.28.14
10.25.28.16/29,10.25.28.17,10.25.28.22
10.25.28.24/29,10.25.28.25,10.25.28.30
10.25.28.32/29,10.25.28.33,10.25.28.38
10.25.28.48/28,10.25.28.49,10.25.28.62
10.25.28.64/28,10.25.28.65,10.25.28.78
10.25.28.128/26,10.25.28.129,10.25.28.190
10.25.29.0/25,10.25.29.1,10.25.29.126
10.25.29.128/25,10.25.29.129,10.25.29.254
192.30.110.160/28,192.30.110.161,192.30.110.174
10.25.30.0/29,10.25.30.1,10.25.30.6
10.25.30.8/29,10.25.30.9,10.25.30.14
10.25.30.16/29,10.25.30.17,10.25.30.22
10.25.30.24/29,10.25.30.25,10.25.30.30
10.25.30.32/29,10.25.30.33,10.25.30.38
10.25.30.48/28,10.25.30.49,10.25.30.62
10.25.30.64/28,10.25.30.65,10.25.30.78
10.25.30.128/26,10.25.30.129,10.25.30.190
10.25.31.0/25,10.25.31.1,10.25.31.126
10.25.31.128/25,10.25.31.129,10.25.31.254
10.28.31.0/28,10.28.31.1,10.28.31.14
192.30.110.224/28,192.30.110.225,192.30.110.238
10.25.32.0/29,10.25.32.1,10.25.32.6
10.25.32.8/29,10.25.32.9,10.25.32.14
10.25.32.16/29,10.25.32.17,10.25.32.22
10.25.32.24/29,10.25.32.25,10.25.32.30
10.25.32.32/29,10.25.32.33,10.25.32.38
10.25.32.48/28,10.25.32.49,10.25.32.62
10.25.32.64/28,10.25.32.65,10.25.32.78
10.25.32.128/26,10.25.32.129,10.25.32.190
10.25.33.0/25,10.25.33.1,10.25.33.126
10.25.33.128/25,10.25.33.129,10.25.33.254
10.28.28.0/28,10.28.28.1,10.28.28.14
10.28.31.16/28,10.28.31.17,10.28.31.30
10.28.31.32/27,10.28.31.33,10.28.31.62
