Subnet,StartIPAddress,EndIPAddress
10.24.200.0/22,10.24.200.1,10.24.203.254
10.24.179.0/25,10.24.179.1,10.24.179.126
10.28.0.0/26,10.28.0.1,10.28.0.62
10.28.0.128/26,10.28.0.129,10.28.0.190
10.28.1.0/26,10.28.1.1,10.28.1.62
10.28.1.64/26,10.28.1.65,10.28.1.126
10.28.1.192/26,10.28.1.193,10.28.1.254
10.28.2.0/26,10.28.2.1,10.28.2.62
10.28.2.128/26,10.28.2.129,10.28.2.190
10.28.2.192/26,10.28.2.193,10.28.2.254
10.28.3.64/26,10.28.3.65,10.28.3.126
10.28.3.128/26,10.28.3.129,10.28.3.190
10.28.4.0/22,10.28.4.1,10.28.7.254
10.28.8.0/26,10.28.8.1,10.28.8.62
10.28.8.64/26,10.28.8.65,10.28.8.126
10.28.8.192/26,10.28.8.193,10.28.8.254
10.28.9.0/26,10.28.9.1,10.28.9.62
10.28.10.128/26,10.28.10.129,10.28.10.190
10.28.12.0/22,10.28.12.1,10.28.15.254
10.28.17.192/26,10.28.17.193,10.28.17.254
10.28.18.0/26,10.28.18.1,10.28.18.62
10.32.3.64/26,10.32.3.65,10.32.3.126
10.32.3.128/26,10.32.3.129,10.32.3.190
10.32.3.192/26,10.32.3.193,10.32.3.254
10.32.4.0/26,10.32.4.1,10.32.4.62
10.32.4.64/26,10.32.4.65,10.32.4.126
10.32.4.128/26,10.32.4.129,10.32.4.190
192.30.111.0/28,192.30.111.1,192.30.111.14
10.22.2.0/29,10.22.2.1,10.22.2.6
10.22.2.8/29,10.22.2.9,10.22.2.14
10.22.2.16/29,10.22.2.17,10.22.2.22
10.22.2.24/29,10.22.2.25,10.22.2.30
10.22.2.32/29,10.22.2.33,10.22.2.38
10.22.2.48/28,10.22.2.49,10.22.2.62
10.22.2.64/28,10.22.2.65,10.22.2.78
10.22.2.128/26,10.22.2.129,10.22.2.190
10.22.3.0/25,10.22.3.1,10.22.3.126
10.22.3.128/25,10.22.3.129,10.22.3.254
10.32.0.0/26,10.32.0.1,10.32.0.62
10.32.0.2 (test),10.32.0.1,10.32.0.62
10.32.0.64/26,10.32.0.65,10.32.0.126
10.32.0.66 (test2),10.32.0.65,10.32.0.126
10.32.1.128/26,10.32.1.129,10.32.1.190
10.32.2.192/26,10.32.2.193,10.32.2.254
10.22.4.0/29,10.22.4.1,10.22.4.6
10.22.4.8/29,10.22.4.9,10.22.4.14
10.22.4.16/29,10.22.4.17,10.22.4.22
10.22.4.24/29,10.22.4.25,10.22.4.30
10.22.4.32/29,10.22.4.33,10.22.4.38
10.22.4.48/28,10.22.4.49,10.22.4.62
10.22.4.64/28,10.22.4.65,10.22.4.78
10.22.4.128/26,10.22.4.129,10.22.4.190
10.22.5.0/25,10.22.5.1,10.22.5.126
10.22.5.128/25,10.22.5.129,10.22.5.254
10.28.27.208/28,10.28.27.209,10.28.27.222
10.28.27.224/28,10.28.27.225,10.28.27.238
10.28.27.240/28,10.28.27.241,10.28.27.254
10.28.35.192/28,10.28.35.193,10.28.35.206
63.77.86.32/28,63.77.86.33,63.77.86.46
10.22.6.0/29,10.22.6.1,10.22.6.6
10.22.6.8/29,10.22.6.9,10.22.6.14
10.22.6.16/29,10.22.6.17,10.22.6.22
10.22.6.24/29,10.22.6.25,10.22.6.30
10.22.6.32/29,10.22.6.33,10.22.6.38
10.22.6.48/28,10.22.6.49,10.22.6.62
10.22.6.64/28,10.22.6.65,10.22.6.78
10.22.6.128/26,10.22.6.129,10.22.6.190
10.22.7.0/25,10.22.7.1,10.22.7.126
10.22.7.128/25,10.22.7.129,10.22.7.254
10.28.9.224/28,10.28.9.225,10.28.9.238
10.28.19.160/27,10.28.19.161,10.28.19.190
10.28.25.16/28,10.28.25.17,10.28.25.30
10.28.33.64/26,10.28.33.65,10.28.33.126
10.28.39.192/26,10.28.39.193,10.28.39.254
10.32.1.192/26,10.32.1.193,10.32.1.254
10.32.5.32/28,10.32.5.33,10.32.5.46
10.32.5.224/27,10.32.5.225,10.32.5.254
192.30.111.208/28,192.30.111.209,192.30.111.222
10.22.8.0/29,10.22.8.1,10.22.8.6
10.22.8.8/29,10.22.8.9,10.22.8.14
10.22.8.16/29,10.22.8.17,10.22.8.22
10.22.8.24/29,10.22.8.25,10.22.8.30
10.22.8.32/29,10.22.8.33,10.22.8.38
10.22.8.48/28,10.22.8.49,10.22.8.62
10.22.8.64/28,10.22.8.65,10.22.8.78
10.22.8.128/26,10.22.8.129,10.22.8.190
10.22.9.0/25,10.22.9.1,10.22.9.126
10.22.9.128/25,10.22.9.129,10.22.9.254
10.32.0.128/26,10.32.0.129,10.32.0.190
10.32.0.192/26,10.32.0.193,10.32.0.254
10.32.1.0/26,10.32.1.1,10.32.1.62
10.32.1.64/26,10.32.1.65,10.32.1.126
10.32.2.0/26,10.32.2.1,10.32.2.62
10.32.2.64/26,10.32.2.65,10.32.2.126
10.32.2.128/26,10.32.2.129,10.32.2.190
63.77.86.80/28,63.77.86.81,63.77.86.94
10.22.10.0/29,10.22.10.1,10.22.10.6
10.22.10.8/29,10.22.10.9,10.22.10.14
10.22.10.16/29,10.22.10.17,10.22.10.22
10.22.10.24/29,10.22.10.25,10.22.10.30
10.22.10.32/29,10.22.10.33,10.22.10.38
10.22.10.48/28,10.22.10.49,10.22.10.62
10.22.10.64/28,10.22.10.65,10.22.10.78
10.22.10.128/26,10.22.10.129,10.22.10.190
10.22.11.0/25,10.22.11.1,10.22.11.126
10.22.11.128/25,10.22.11.129,10.22.11.254
10.32.3.32/27,10.32.3.33,10.32.3.62
10.32.5.64/26,10.32.5.65,10.32.5.126
10.32.5.128/26,10.32.5.129,10.32.5.190
10.32.6.192/26,10.32.6.193,10.32.6.254
192.30.111.16/28,192.30.111.17,192.30.111.30
10.22.12.0/29,10.22.12.1,10.22.12.6
10.22.12.8/29,10.22.12.9,10.22.12.14
10.22.12.16/29,10.22.12.17,10.22.12.22
10.22.12.24/29,10.22.12.25,10.22.12.30
10.22.12.32/29,10.22.12.33,10.22.12.38
10.22.12.48/28,10.22.12.49,10.22.12.62
10.22.12.64/28,10.22.12.65,10.22.12.78
10.22.12.128/26,10.22.12.129,10.22.12.190
