Subnet,StartIPAddress,EndIPAddress
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.42.15.0/24,10.42.15.1,10.42.15.254
10.82.15.0/24,10.82.15.1,10.82.15.254
10.42.48.0/23,10.42.48.1,10.42.49.254
10.82.48.0/23,10.82.48.1,10.82.49.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.42.65.0/24,10.42.65.1,10.42.65.254
10.82.65.0/24,10.82.65.1,10.82.65.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.42.165.0/24,10.42.165.1,10.42.165.254
10.42.206.0/24,10.42.206.1,10.42.206.254
10.82.206.0/24,10.82.206.1,10.82.206.254
10.82.165.0/24,10.82.165.1,10.82.165.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.42.20.0/23,10.42.20.1,10.42.21.254
10.82.20.0/23,10.82.20.1,10.82.21.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.42.1.0/24,10.42.1.1,10.42.1.254
10.82.1.0/24,10.82.1.1,10.82.1.254
10.41.0.0/24,10.41.0.1,10.41.0.254
10.42.0.0/24,10.42.0.1,10.42.0.254
10.44.0.0/24,10.44.0.1,10.44.0.254
10.84.0.0/24,10.84.0.1,10.84.0.254
10.81.0.0/24,10.81.0.1,10.81.0.254
10.82.0.0/24,10.82.0.1,10.82.0.254
10.42.201.0/24,10.42.201.1,10.42.201.254
10.42.101.0/24,10.42.101.1,10.42.101.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.15.0/24,10.84.15.1,10.84.15.254
10.44.15.0/24,10.44.15.1,10.44.15.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.44.19.0/24,10.44.19.1,10.44.19.254
10.84.19.0/24,10.84.19.1,10.84.19.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.42.54.0/24,10.42.54.1,10.42.54.254
10.82.54.0/24,10.82.54.1,10.82.54.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.42.56.0/23,10.42.56.1,10.42.57.254
10.82.56.0/23,10.82.56.1,10.82.57.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.40.70.0/23,10.40.70.1,10.40.71.254
10.41.2.0/23,10.41.2.1,10.41.3.254
10.81.2.0/23,10.81.2.1,10.81.3.254
10.82.16.0/23,10.82.16.1,10.82.17.254
10.40.30.0/23,10.40.30.1,10.40.31.254
10.42.16.0/23,10.42.16.1,10.42.17.254
10.82.2.0/23,10.82.2.1,10.82.3.254
10.82.116.0/24,10.82.116.1,10.82.116.254
10.42.22.0/23,10.42.22.1,10.42.23.254
10.82.22.0/23,10.82.22.1,10.82.23.254
10.41.3.0/24,10.41.3.1,10.41.3.254
10.82.126.0/23,10.82.126.1,10.82.127.254
10.40.30.0/23,10.40.30.1,10.40.31.254
10.81.2.0/23,10.81.2.1,10.81.3.254
10.82.16.0/23,10.82.16.1,10.82.17.254
10.82.116.0/24,10.82.116.1,10.82.116.254
10.41.2.0/23,10.41.2.1,10.41.3.254
10.82.2.0/23,10.82.2.1,10.82.3.254
10.42.16.0/23,10.42.16.1,10.42.17.254
10.82.22.0/23,10.82.22.1,10.82.23.254
10.42.22.0/23,10.42.22.1,10.42.23.254
10.41.3.0/24,10.41.3.1,10.41.3.254
10.82.126.0/23,10.82.126.1,10.82.127.254
10.42.18.0/23,10.42.18.1,10.42.19.254
10.82.18.0/23,10.82.18.1,10.82.19.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.42.53.0/24,10.42.53.1,10.42.53.254
10.82.53.0/24,10.82.53.1,10.82.53.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.44.6.0/23,10.44.6.1,10.44.7.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.81.2.0/23,10.81.2.1,10.81.3.254
10.82.16.0/23,10.82.16.1,10.82.17.254
10.41.2.0/23,10.41.2.1,10.41.3.254
10.40.30.0/23,10.40.30.1,10.40.31.254
10.42.16.0/23,10.42.16.1,10.42.17.254
10.82.2.0/23,10.82.2.1,10.82.3.254
10.82.116.0/24,10.82.116.1,10.82.116.254
10.42.22.0/23,10.42.22.1,10.42.23.254
10.82.22.0/23,10.82.22.1,10.82.23.254
10.41.3.0/24,10.41.3.1,10.41.3.254
10.82.126.0/23,10.82.126.1,10.82.127.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.8.0/23,10.44.8.1,10.44.9.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.42.11.0/24,10.42.11.1,10.42.11.254
10.82.11.0/24,10.82.11.1,10.82.11.254
10.42.18.0/23,10.42.18.1,10.42.19.254
10.82.18.0/23,10.82.18.1,10.82.19.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.82.32.0/24,10.82.32.1,10.82.32.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.84.0.0/16,10.84.0.1,10.84.255.254
10.44.0.0/16,10.44.0.1,10.44.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.42.0.0/16,10.42.0.1,10.42.255.254
10.41.0.0/16,10.41.0.1,10.41.255.254
10.82.0.0/16,10.82.0.1,10.82.255.254
10.81.0.0/16,10.81.0.1,10.81.255.254
192.168.253.0/24,192.168.253.1,192.168.253.254
192.168.252.0/24,192.168.252.1,192.168.252.254
10.40.0.0/16,10.40.0.1,10.40.255.254
172.16.0.0/16,172.16.0.1,172.16.255.254
10.70.0.0/16,10.70.0.1,10.70.255.254
10.1.0.0/16,10.1.0.1,10.1.255.254
10.10.0.0/16,10.10.0.1,10.10.255.254
10.60.0.0/16,10.60.0.1,10.60.255.254
