Domain,TimeZone
services.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
a01.tzghosting.net,
srigovernment.tzghosting.net,
cmb.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
uam.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
dhh.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
swh.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
AET.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
hnt.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
php.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
rhc.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
lac.tzghosting.net,(UTC-08:00) Pacific Time (US & Canada)
dhp.tzghosting.net,(UTC-06:00) Central Time (US & Canada)
ich.tzghosting.net,(UTC-06:00) Central Time (US & Canada)
nwh.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
hsn.tzghosting.net,(UTC-05:00) Eastern Time (US & Canada)
bri.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
kmh.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
shp.tzghosting.net,(UTC-05:00) Eastern Time (US & Canada)
AHP.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
txc.tzghosting.net,(UTC-06:00) Central Time (US & Canada)
wmk.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
wha.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
FHP.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
GHP.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
AAH.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
ohd.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
vhp.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
CIG.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
ils.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
IHP.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
SCH.tzghosting.net,(UTC-08:00) Pacific Time (US & Canada)
TIX.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
b01.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
QIC.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
csh.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
b02.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
qca.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
ahw.tzghosting.net,(UTC-08:00) Pacific Time (US & Canada)
avc.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
NBH.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
csfwindom.net,(GMT-07:00) Mountain Time (US & Canada)
tzghsp.net,(UTC-07:00) Mountain Time (US & Canada)
uic01.tzghosting.net,
cust.tzghsp.net,(UTC-07:00) Mountain Time (US & Canada)
topaz.tpzhsp.net,(UTC-07:00) Mountain Time (US & Canada)
uha.tzghosting.net,(UTC-07:00) Mountain Time (US & Canada)
