BulletinID,ArticleID,Present or Missing,SUG Name,Detail
,4284878,Present,SUG-Jun-2018,2018-06 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4284878)
,4284815,Present,SUG-Jun-2018,2018-06 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4284815)
,4284867,Present,SUG-Jun-2018,2018-06 Security Only Quality Update for Windows 7 for x64-based Systems (KB4284867)
,4230467,Present,SUG-Jun-2018,2018-06 Security Update for Windows Server 2008 for x86-based Systems (KB4230467)
,4294413,Present,SUG-Jun-2018,2018-06 Security Update for Windows Server 2008 for x86-based Systems (KB4294413)
,4234459,Present,SUG-Jun-2018,2018-06 Security Update for Windows Server 2008 for x86-based Systems (KB4234459)
,4230450,Present,SUG-Jun-2018,Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 (KB4230450)
MS15-101,3074228,Present,SUG-Jun-2018,Security Update for Microsoft .NET Framework 4.5.1 and 4.5.2 on Windows 8.1 and Windows Server 2012 R2 x64-based Systems (KB3074228)
MS15-048,3023219,Present,SUG-Jun-2018,Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3023219)
MS15-041,3037576,Present,SUG-Jun-2018,Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3037576)
MS15-118,3097992,Present,SUG-Jun-2018,Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3097992)
MS15-101,3074545,Present,SUG-Jun-2018,Security Update for Microsoft .NET Framework 3.5 on Windows 8.1 and Windows Server 2012 R2 for x64-based Systems (KB3074545)
,2871997,Present,SUG-Jun-2018,Security Update for Windows Server 2008 R2 x64 Edition (KB2871997)
2565063,2565063,Missing. Required count is 484,SUG-Jun-2018,Security Update for Microsoft Visual C++ 2010 Service Pack 1 Redistributable Package (KB2565063)
2467173,2467173,Missing. Required count is 82,SUG-Jun-2018,Security Update for Microsoft Visual C++ 2010 Redistributable Package (KB2467173)
2538243,2538243,Missing. Required count is 155,SUG-Jun-2018,Security Update for Microsoft Visual C++ 2008 Service Pack 1 Redistributable Package (KB2538243)
2538242,2538242,Missing. Required count is 605,SUG-Jun-2018,Security Update for Microsoft Visual C++ 2005 Service Pack 1 Redistributable Package (KB2538242)
4103725,4103725,Missing. Required count is 206,SUG-Jun-2018,2018-05 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4103725)
,4287903,Present,SUG-Jun-2018,2018-06 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4287903)
4099635,4099635,Missing. Required count is 300,SUG-Jun-2018,2018-05 Security and Quality Rollup for .NET Framework 3.5, 4.5.2, 4.6, 4.6.1, 4.6.2, 4.7, 4.7.1 on Windows 8.1 and Server 2012 R2 for x64 (KB4099635)
,4103712,Present,SUG-Jun-2018,2018-05 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4103712)
,4103715,Present,SUG-Jun-2018,2018-05 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4103715)
4103768,4103768,Missing. Required count is 0,SUG-Jun-2018,Cumulative Security Update for Internet Explorer 9 for Windows Server 2008 x64 Edition (KB4103768)
