BulletinID,ArticleID,Present or Missing,SUG Name,Detail
,3114874,Present,SUG-Feb-2018,Security Updates - Office 2010
,3172459,Present,SUG-Feb-2018,Security Updates - Office 2013
,4011143,Present,SUG-Feb-2018,Security Updates - Office 2016
,4011686,Present,SUG-Feb-2018,Security Updates - Office 2016
,4011690,Present,SUG-Feb-2018,Security Updates - Office 2013
,4011707,Present,SUG-Feb-2018,Security Updates - Office 2010
,4034044,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4058165,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4073079,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4073080,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4074587,Present,SUG-Feb-2018,Security Updates - Windows 7
,4074589,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
,4074590,Present,SUG-Feb-2018,Security Updates - Windows Server 2016
,4074593,Present,SUG-Feb-2018,Security Updates - Windows Server 2012
,4074594,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
,4074597,Present,SUG-Feb-2018,Security Updates - Windows Server 2012 R2
,4074598,Present,SUG-Feb-2018,Security Updates - Windows 7
,4074603,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4074736,Present,SUG-Feb-2018,Security Updates - Windows 7
,4074836,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
,4074851,Present,SUG-Feb-2018,Security Updates - Windows Server 2008
2538242,NA,Not found in SCCM,NA,NA
,4074851,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
2538243,NA,Not found in SCCM,NA,NA
,4074851,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
2565063,NA,Not found in SCCM,NA,NA
,4074851,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
2901112,NA,Not found in SCCM,NA,NA
,4074851,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
2898857,NA,Not found in SCCM,NA,NA
,4074851,Missing,SUG-Feb-2018,Security Updates - Windows Server 2008
