deviceCollection,SUGName,DeploymentName,description,AvailableTime,DeadlineTime
NON PROD STAGGER 3,SUG-May-2018,SUG-May-2018 on NON PROD STAGGER 3,SUG-May-2018 on NON PROD STAGGER 3,5/16/2018 6:00,5/23/2018 23:05
NON PROD STAGGER 3,SUG-MayRem-2018,SUG-MayRem-2018 on NON PROD STAGGER 3,SUG-MayRem-2018 on NON PROD STAGGER 3,5/16/2018 6:00,5/23/2018 23:05
NON PROD STAGGER 3,SUG-Patches-2016,SUG-Patches-2016 on NON PROD STAGGER 3,SUG-Patches-2016 on NON PROD STAGGER 3,5/16/2018 6:00,5/23/2018 23:05
NON PROD STAGGER 3,SUG-Patches-2017,SUG-Patches-2017 on NON PROD STAGGER 3,SUG-Patches-2017 on NON PROD STAGGER 3,5/16/2018 6:00,5/23/2018 23:05
NON PROD STAGGER 3,SUG-Patches-2018,SUG-May-2018 on NON PROD STAGGER 3,SUG-May-2018 on NON PROD STAGGER 3,5/16/2018 6:00,5/23/2018 23:05
NON PROD STAGGER 4,SUG-May-2018,SUG-May-2018 on NON PROD STAGGER 4,SUG-May-2018 on NON PROD STAGGER 4,5/16/2018 6:00,5/24/2018 0:05
NON PROD STAGGER 4,SUG-MayRem-2018,SUG-MayRem-2018 on NON PROD STAGGER 4,SUG-MayRem-2018 on NON PROD STAGGER 4,5/16/2018 6:00,5/24/2018 0:05
NON PROD STAGGER 4,SUG-Patches-2016,SUG-Patches-2016 on NON PROD STAGGER 4,SUG-Patches-2016 on NON PROD STAGGER 4,5/16/2018 6:00,5/24/2018 0:05
NON PROD STAGGER 4,SUG-Patches-2017,SUG-Patches-2017 on NON PROD STAGGER 4,SUG-Patches-2017 on NON PROD STAGGER 4,5/16/2018 6:00,5/24/2018 0:05
NON PROD STAGGER 4,SUG-Patches-2018,SUG-May-2018 on NON PROD STAGGER 4,SUG-May-2018 on NON PROD STAGGER 4,5/16/2018 6:00,5/24/2018 0:05
