deviceCollection,SUGName,DeploymentName,description,AvailableTime,DeadlineTime
MW NON PROD Infra Enable Servers,SUG-Aug-2018,SUG-Aug-2018 on MW NON PROD Infra Enable Servers,SUG-Aug-2018 on MW NON PROD Infra Enable Servers,8/17/2018 2:00,8/23/2018 1:05
NON PROD STAGGER 1,SUG-Aug-2018,SUG-Aug-2018 on NON PROD STAGGER 1,SUG-Aug-2018 on NON PROD STAGGER 1,8/17/2018 2:00,8/23/2018 1:05
NON PROD STAGGER 2,SUG-Aug-2018,SUG-Aug-2018 on NON PROD STAGGER 2,SUG-Aug-2018 on NON PROD STAGGER 2,8/17/2018 4:00,8/23/2018 1:05
NON PROD STAGGER 3,SUG-Aug-2018,SUG-Aug-2018 on NON PROD STAGGER 3,SUG-Aug-2018 on NON PROD STAGGER 3,8/17/2018 6:00,8/23/2018 1:05
NON PROD STAGGER 4,SUG-Aug-2018,SUG-Aug-2018 on NON PROD STAGGER 4,SUG-Aug-2018 on NON PROD STAGGER 4,8/17/2018 8:00,8/23/2018 1:05
MW NON PROD REGULAR SERVERS,SUG-Aug-2018,SUG-Aug-2018 on MW NON PROD REGULAR SERVERS,SUG-Aug-2018 on MW NON PROD REGULAR SERVERS,8/17/2018 10:00,8/23/2018 1:05
MW Management Servers,SUG-Aug-2018,SUG-Aug-2018 on MW Management Servers,SUG-Aug-2018 on MW Management Servers,8/19/2018 9:00,8/19/2018 21:05
DEMO Non Prod Servers,SUG-Aug-2018,SUG-Aug-2018 on DEMO Non Prod Servers,SUG-Aug-2018 on DEMO Non Prod Servers,8/20/2018 2:00,8/24/2018 21:05
Windows 7 Prod Servers,SUG-Aug-2018,SUG-Aug-2018 on Windows 7 Prod Servers,SUG-Aug-2018 on Windows 7 Prod Servers,8/20/2018 4:00,8/28/2018 21:05
MW NON PROD Infra Enable Servers,SUG-Patches-2016,SUG-Patches-2016 on MW NON PROD Infra Enable Servers,SUG-Patches-2016 on MW NON PROD Infra Enable Servers,8/17/2018 2:00,8/23/2018 1:05
MW NON PROD Infra Enable Servers,SUG-Patches-2017,SUG-Patches-2017 on MW NON PROD Infra Enable Servers,SUG-Patches-2017 on MW NON PROD Infra Enable Servers,8/17/2018 2:00,8/23/2018 1:05
MW NON PROD Infra Enable Servers,SUG-Patches-2018,SUG-Patches-2018 on MW NON PROD Infra Enable Servers,SUG-Patches-2018 on MW NON PROD Infra Enable Servers,8/17/2018 2:00,8/23/2018 1:05
NON PROD STAGGER 1,SUG-Patches-2016,SUG-Patches-2016 on NON PROD STAGGER 1,SUG-Patches-2016 on NON PROD STAGGER 1,8/17/2018 2:00,8/23/2018 1:05
NON PROD STAGGER 1,SUG-Patches-2017,SUG-Patches-2017 on NON PROD STAGGER 1,SUG-Patches-2017 on NON PROD STAGGER 1,8/17/2018 2:00,8/23/2018 1:05
NON PROD STAGGER 1,SUG-Patches-2018,SUG-Patches-2018 on NON PROD STAGGER 1,SUG-Patches-2018 on NON PROD STAGGER 1,8/17/2018 2:00,8/23/2018 1:05
