Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
CSN-AAH-DC-01.AAH.tzghosting.net,No Change required,Y,2,2
ABN-AAH-DC-01.AAH.tzghosting.net,No Change required,Y,2,2
CSN-AAH-DC-02.AAH.tzghosting.net,No Change required,Y,2,2
ABN-AAH-DC-02.AAH.tzghosting.net,No Change required,Y,2,2
ABN-AAH-DFS-01.AAH.tzghosting.net,No Change required,Y,2,2
CSN-AAH-APP-02.AAH.tzghosting.net,No Change required,Y,2,2
CSN-AET-DC-02.AET.tzghosting.net,No Change required,Y,2,2
CSN-AET-DC-01.AET.tzghosting.net,No Change required,Y,2,2
ABN-AET-DC-01.AET.tzghosting.net,No Change required,Y,2,2
CSN-AET-DFS-01.AET.tzghosting.net,No Change required,Y,2,2
ABN-AET-DFS-01.AET.tzghosting.net,No Change required,Y,2,2
ABN-AET-DC-02.AET.tzghosting.net,No Change required,Y,2,2
CSN-AET-DC-03.AET.tzghosting.net,No Change required,Y,2,2
CSN-TZG-QLK-01.AET.tzghosting.net,Change Required,,,
CSN-AHP-DC-01.AHP.tzghosting.net,No Change required,Y,2,2
CSN-AHP-DC-02.AHP.tzghosting.net,No Change required,Y,2,2
ABN-AHP-DC-01.AHP.tzghosting.net,No Change required,Y,2,2
ABN-AHP-DC-02.AHP.tzghosting.net,No Change required,Y,2,2
CSN-AHP-DFS-01.AHP.tzghosting.net,No Change required,Y,2,2
ABN-AHP-DFS-01.AHP.tzghosting.net,No Change required,Y,2,2
ABN-AHP-CWI-01.AHP.tzghosting.net,No Change required,Y,2,2
ABN-AHP-CWI-02.AHP.tzghosting.net,No Change required,Y,2,2
ABN-AHP-ZDC-01.AHP.tzghosting.net,Change Required,Y,0,3
ABN-AHP-ZDC-02.AHP.tzghosting.net,No Change required,Y,2,2
CSN-AHP-CWI-01.AHP.tzghosting.net,No Change required,Y,2,2
CSN-AHP-CWI-02.AHP.tzghosting.net,No Change required,Y,2,2
CSN-AHP-ZDC-01.AHP.tzghosting.net,Change Required,Y,0,3
