Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
CSN-BCN-HPA-53.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-BCN-HPA-60.BCN.tzghosting.net,Registry Modified. Reboot Required,,,
CSN-BCN-HPA-65.BCN.tzghosting.net,Registry Modified. Reboot Required,,,
CSN-BCN-HPA-66.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-BCN-HPA-81.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-BCN-HPA-86.BCN.tzghosting.net,Registry Modified. Reboot Required,,,
CSN-BCN-XEN-30.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-31.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-32.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-33.services.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-34.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-35.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-36.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-37.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-38.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-39.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-40.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-41.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-42.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-43.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-44.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-45.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-46.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-47.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-48.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-49.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-50.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-51.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-52.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-53.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-54.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-55.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-56.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-57.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-58.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-59.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-EMS-DPE-01.services.tzghosting.net,Registry Modified. Reboot Required,Y,0,2
CSN-MHH-HPA-31.MHH.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-THC-ZDC-04.custhsp.tzghosting.net,Registry Modified. Reboot Required,Y,0,3
