Server,Status,BeforeCHG_EnableDCOM,BeforeCHG_LegacyAuthenticationLevel,BEforeCHG_LegacyImpersonationLevel
CSN-BCN-HPA-53.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-BCN-HPA-60.BCN.tzghosting.net,Registry Modified. Reboot Required,,,
CSN-BCN-HPA-65.BCN.tzghosting.net,Registry Modified. Reboot Required,,,
CSN-BCN-HPA-66.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-BCN-HPA-81.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,3
CSN-BCN-HPA-86.BCN.tzghosting.net,Registry Modified. Reboot Required,,,
CSN-BCN-XEN-30.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-31.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-32.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-33.services.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-34.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-35.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-36.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-37.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-38.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-39.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-40.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-41.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-42.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-43.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-44.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-45.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
CSN-BCN-XEN-46.BCN.tzghosting.net,Registry Modified. Reboot Required,Y,1,2
