BulletinID,ArticleID,SUGName,Status,Description
MS11-049,2251487,SUG-MayRem2018-Windows2008,Added,Security Update for Microsoft Visual Studio 2008 Service Pack 1 XML Editor (KB2251487)
MS13-081,2862330,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 R2 x64 Edition (KB2862330)
,2871997,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 R2 x64 Edition (KB2871997)
,2871997,SUG-MayRem2018-Windows2008,Added,Security Update for Windows 7 for x64-based Systems (KB2871997)
MS15-011,3000483,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 R2 x64 Edition (KB3000483)
MS15-011,3000483,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2012 R2 (KB3000483)
MS15-011,3000483,SUG-MayRem2018-Windows2008,Added,Security Update for Windows 7 for x64-based Systems (KB3000483)
MS15-037,3046269,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 R2 x64 Edition (KB3046269)
MS15-037,3046269,SUG-MayRem2018-Windows2008,Added,Security Update for Windows 7 for x64-based Systems (KB3046269)
MS16-120,3192391,SUG-MayRem2018-Windows2008,Added,October, 2016 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB3192391)
MS16-120,3192391,SUG-MayRem2018-Windows2008,Added,October, 2016 Security Only Quality Update for Windows 7 for x64-based Systems (KB3192391)
,3218362,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 (KB3218362)
MS17-008,4012212,SUG-MayRem2018-Windows2008,Added,March, 2017 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4012212)
MS17-008,4012212,SUG-MayRem2018-Windows2008,Added,March, 2017 Security Only Quality Update for Windows 7 for x64-based Systems (KB4012212)
,4015546,SUG-MayRem2018-Windows2008,Added,April, 2017 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4015546)
,4015546,SUG-MayRem2018-Windows2008,Added,April, 2017 Security Only Quality Update for Windows 7 for x64-based Systems (KB4015546)
,4092946,SUG-MayRem2018-Windows2008,Added,Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based Systems (KB4092946)
,4092946,SUG-MayRem2018-Windows2008,Added,Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based Systems (KB4092946)
,4092946,SUG-MayRem2018-Windows2008,Added,Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 (KB4092946)
,4019263,SUG-MayRem2018-Windows2008,Added,2017-05 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4019263)
,4019263,SUG-MayRem2018-Windows2008,Added,2017-05 Security Only Quality Update for Windows 7 for x64-based Systems (KB4019263)
,4022722,SUG-MayRem2018-Windows2008,Added,2017-06 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4022722)
,4022722,SUG-MayRem2018-Windows2008,Added,2017-06 Security Only Quality Update for Windows 7 for x64-based Systems (KB4022722)
,4022746,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4022748,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4022750,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 (KB4022750)
,4022914,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4047211,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 (KB4047211)
,4025240,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4025337,SUG-MayRem2018-Windows2008,Added,2017-07 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4025337)
,4025337,SUG-MayRem2018-Windows2008,Added,2017-07 Security Only Quality Update for Windows 7 for x64-based Systems (KB4025337)
,4025398,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4025409,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4025497,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4025674,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4048970,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 (KB4048970)
,4026059,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4026061,SUG-MayRem2018-Windows2008,Not Required,Supported OS not present 
,4032201,SUG-MayRem2018-Windows2008,Added,Security Update for Windows Server 2008 (KB4032201)
