BulletinID,ArticleID,SUGName,Status,Description
,4458010,SUG-Sep-2018,Added,2018-09 Security Monthly Quality Rollup for Windows Server 2008 for x86-based Systems (KB4458010)
,4457984,SUG-Sep-2018,Added,2018-09 Security Only Quality Update for Windows Server 2008 for x86-based Systems (KB4457984)
,4457144,SUG-Sep-2018,Added,2018-09 Security Monthly Quality Rollup for Windows 7 for x64-based Systems (KB4457144)
,4457144,SUG-Sep-2018,Added,2018-09 Security Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4457144)
,4457145,SUG-Sep-2018,Added,2018-09 Security Only Quality Update for Windows 7 for x64-based Systems (KB4457145)
,4457145,SUG-Sep-2018,Added,2018-09 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4457145)
,4457146,SUG-Sep-2018,Added,2018-09 Security Update for Adobe Flash Player for Windows Server 2012 R2 for x64-based Systems (KB4457146)
,4457131,SUG-Sep-2018,Not Required,Supported OS not present 
,4457129,SUG-Sep-2018,Added,2018-09 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4457129)
,4457143,SUG-Sep-2018,Added,2018-09 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4457143)
,4457426,SUG-Sep-2018,Added,2018-09 Cumulative Security Update for Internet Explorer 11 for Windows Server 2012 R2 for x64-based systems (KB4457426)
,4457426,SUG-Sep-2018,Added,2018-09 Cumulative Security Update for Internet Explorer 11 for Windows 7 for x64-based systems (KB4457426)
,4457426,SUG-Sep-2018,Added,2018-09 Cumulative Security Update for Internet Explorer 11 for Windows Server 2008 R2 for x64-based systems (KB4457426)
