kb, title, date, total, Installed, missing, notApplicable, unKnown, PercentCompliant, bulletinID, Downloaded, Deployed, Superseded, URL, Size
4338815, 2018-07 Security Monthly Quality Rollup for Windows Server 2012 R2 for x64-based Systems (KB4338815), 07/16/2018 01:38:27,10582,139,2483,7507,453,72, , Yes, No, No, http://support.microsoft.com/help/4338815, 
4338824, 2018-07 Security Only Quality Update for Windows Server 2012 R2 for x64-based Systems (KB4338824), 07/16/2018 01:38:32,10582,485,2498,7146,453,72, , Yes, No, No, http://support.microsoft.com/help/4338824, 
4338818, 2018-07 Security Monthly Quality Rollup for Windows Server 2008 R2 for x64-based Systems (KB4338818), 07/10/2018 13:15:21,10582,0,3475,6596,511,62, , No, No, No, http://support.microsoft.com/help/4338818, 
4338823, 2018-07 Security Only Quality Update for Windows Server 2008 R2 for x64-based Systems (KB4338823), 07/16/2018 01:38:30,10582,12,3461,6597,512,62, , Yes, No, No, http://support.microsoft.com/help/4338823, 
4339854, 2018-07 Security Update for Windows Server 2008 for x64-based Systems (KB4339854), 07/10/2018 13:15:50,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4339854, 
4339854, 2018-07 Security Update for Windows Server 2008 for x86-based Systems (KB4339854), 07/16/2018 01:38:40,10582,36,35,10000,511,95, , Yes, Yes, No, http://support.microsoft.com/help/4339854, 
4293756, 2018-07 Security Update for Windows Server 2008 for x64-based Systems (KB4293756), 07/10/2018 13:14:54,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4293756, 
4293756, 2018-07 Security Update for Windows Server 2008 for x86-based Systems (KB4293756), 07/16/2018 01:38:36,10582,37,34,10000,511,95, , Yes, Yes, No, http://support.microsoft.com/help/4293756, 
4291391, 2018-07 Security Update for Windows Server 2008 for x86-based Systems (KB4291391), 07/16/2018 01:38:35,10582,37,34,10000,511,95, , Yes, Yes, No, http://support.microsoft.com/help/4291391, 
4291391, 2018-07 Security Update for Windows Server 2008 for x64-based Systems (KB4291391), 07/10/2018 13:15:58,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4291391, 
4295656, 2018-07 Security Update for Windows Server 2008 for x86-based Systems (KB4295656), 07/16/2018 01:38:37,10582,1,70,10000,511,95, , Yes, No, No, http://support.microsoft.com/help/4295656, 
4295656, 2018-07 Security Update for Windows Server 2008 for x64-based Systems (KB4295656), 07/10/2018 13:14:57,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4295656, 
4339291, 2018-07 Security Update for Windows Server 2008 for x64-based Systems (KB4339291), 07/10/2018 13:15:25,10582,0,0,10070,512,95, , No, No, No, http://support.microsoft.com/help/4339291, 
4339291, 2018-07 Security Update for Windows Server 2008 for x86-based Systems (KB4339291), 07/16/2018 01:38:38,10582,37,34,10000,511,95, , Yes, Yes, No, http://support.microsoft.com/help/4339291, 
4340583, 2018-07 Security Update for Windows Server 2008 for x86-based Systems (KB4340583), 07/16/2018 01:38:41,10582,37,34,10000,511,95, , Yes, Yes, No, http://support.microsoft.com/help/4340583, 
