Server,Domain,Operating-System
CSN-SVC-DC-01,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-DC-02,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-DC-01,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-DC-02,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-DC-03,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-SVC-CCA-02,services.tzghosting.net,Windows Server 2008 R2 Enterprise
CSN-SVC-CCA-02,services.tzghosting.net,Windows Server 2008 R2 Enterprise
ABN-SVC-KMS-02,services.tzghosting.net,Windows Server 2012 R2 Standard
CSN-SVC-KMS-02,services.tzghosting.net,Windows Server 2012 R2 Standard
ABN-TZG-MET-T01,services.tzghosting.net,Windows Server 2003
ABN-TZG-WAS-T01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DDMP-04,services.tzghosting.net,Windows Server 2003
ABN-EMS-DDM-01,services.tzghosting.net,Windows Server 2003
ABN-EMS-DDMP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-SVC-APP-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-GWS-02,services.tzghosting.net,Windows Server 2003
CSN-EMS-DDMP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DDMP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-DDMC-01,services.tzghosting.net,Windows Server 2003
CSN-EMS-BSM-D01,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-EMS-DDMP-03,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-EMS-BSM-D02,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-APP-01,services.tzghosting.net,Windows Server 2008 R2 Standard
CSN-SVC-APP-02,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-04,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-05,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-03,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-06,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-07,services.tzghosting.net,Windows Server 2008 R2 Standard
ABN-TZG-SLK-02,services.tzghosting.net,Windows Server 2008 R2 Standard
